prefix,[<new prefix> | reset],Utility,,No,send_messages,administrator,prefix or fbot prefix f! or fbot prefix reset,,Changes the prefix for the server
help,(command),Utility,,No,"send_messages, embed_links",no extra,fbot help or fbot help cmds,,Allows you to get specific information on individual commands
cmds,,Utility,,No,"send_messages, embed_links, add_reactions, (manage_messages)",no extra,fbot cmds,,Gives you an overview of commands
economy,,Utility,,No,"send_messages, embed_links, add_reactions, (manage_messages)",no extra,fbot economy,,Gives you an overview of our economy system
info,,Information,,No,"send_messages, embed_links",no extra,fbot info,,Get information about FBot
servinfo,,Information,,Yes,"send_messages, embed_links",no extra,fbot servinfo,,Gets information about the server
session,,Information,,No,"send_messages, embed_links",no extra,fbot session,,Gives you information about FBot's current session
ver,,Information,,No,"send_messages, embed_links",no extra,fbot ver,,Gives you information about Fbot's version
ping,,Information,,No,"send_messages, embed_links",no extra,fbot ping,,Gets you FBot's ping
stats,,Information,,No,"send_messages, embed_links",no extra,fbot stats,,Gives message processing stats for a period
links,,Information,,No,"send_messages, embed_links",no extra,fbot links,,Gets all links affiliated with FBot
invite,,Information,,No,"send_messages, embed_links",no extra,fbot invite,,Gives you a link to invite FBot to your server
server,,Information,,No,"send_messages, embed_links",no extra,fbot server,,Gives you a link to join FBot's server
csvreload,,Dev,,No,send_messages,owner,,,
eval,<content>,Dev,,No,send_messages,owner,,,
await,<function> <content>,Dev,,No,send_messages,owner,,,
devon,,Dev,,Yes,send_messages,owner,,,
devoff,,Dev,,Yes,send_messages,owner,,,
devrespond,[few | some | all],Dev,,Yes,send_messages,owner,,,
devmodtoggle,[on | off],Dev,,Yes,send_messages,owner,,,
load,<cog>,Dev,,No,send_messages,owner,,,
unload,<cog>,Dev,,No,send_messages,owner,,,
reload,<cog>,Dev,,No,send_messages,owner,,,
cogs,,Dev,,No,send_messages,owner,,,
presence,<new presence>,Dev,,No,send_messages,owner,,,
send,<channel id> <message>,Dev,,No,send_messages,owner,,,
userdm,"""@user <message>""",Dev,,No,send_messages,owner,,,
newinvite,<server id>,Dev,,No,send_messages,owner,,,
lookup,<server id>,Dev,,No,send_messages,owner,,,
cmdlist,,Dev,,No,send_messages,owner,,,
search,<query>,Dev,,No,send_messages,owner,,,
host,,Dev,,No,send_messages,owner,,,
devcmds,,Dev,,No,send_messages,owner,,,
premium,,Fun,,No,send_messages,no extra,,,
gift,,Dev,,No,send_messages,owner,,,
updateservers,,Dev,,No,send_messages,owner,,,
